student_id,student_name,first_name,last_name,date_of_birth,grade_level,site,ethnicity,free_reduced_lunch,enrollment_date,email,guardian_phone
STU0183,terrence harrison,Terrence,Harrison,2008-02-03,8,Pilsen,White,No,2023-08-24,,001-249-758-6778x65797
STU0249,"Page, Joseph",Joseph,Page,,6th,South Side,,yes,"September 23, 2023",,923-743-4432x3044
STU0259,Kenneth P.,Kenneth,Prince,03/30/2015,12th,Hyde Park,White,1,2023-08-13,whamilton@example.com,
STU0019,Hannah Gonzalez,,Gonzalez,02/16/2014,6,Hyde Park,,0,08/12/2023,timothy96@example.net,(856)780-5288
STU0254,Patricia Mayo,Patricia,Mayo,,sophomore,South Side,Black or African American,0,09/06/2023,angela15@example.com,
STU0120,BRIAN RIVERA,Brian,Rivera,"February 21, 2013",Grade 9,West Loop,Asian,N,10 Aug 2023,courtney18@example.org,910-484-9147x05997
STU0145,John P.,John,Peterson,07/21/2009,G7,West Loop,,yes,"August 15, 2023",cynthia87@example.com,
STU0197,Jennifer Vaughan,Jennifer,Vaughan,03/20/2014,Grade 10,South Side,Black or African American,Yes,09-23-2023,richardwilliams@example.net,(201)475-9709x08225
STU0299,ERIN WHITE,Erin,White,,7,Hyde Park,Asian,Yes,2023-08-15,stanleyjade@example.com,+1-901-664-1338x2864
STU0106,Isaac R.,Isaac,Roberts,02-20-2011,12,Hyde Park,Hispanic,Y,09/05/2023,,+1-616-469-5758x3993
STU0124,J. Watkins,Jason,Watkins,07-10-2010,7th,Englewood,Multiracial,yes,08/13/2023,uguerrero@example.com,2308303375
STU0276,LUIS RICHARDSON,Luis,Richardson,06-30-2006,Grade 11,South Side,,Y,2023-08-07,brownnicole@example.org,
STU0265,Stacey M.,Stacey,Murphy,20 Nov 2010,7,Englewood,,0,2023-08-26,sguzman@example.net,(217)568-7549x02989
STU0144,james rodriguez,James,Rodriguez,12/15/2008,Grade 7,Englewood,Asian,,08-01-2023,michaelsanchez@example.org,278-342-3931x09068
STU0052,allen aguilar,Allen,Aguilar,11 Aug 2008,senior,,Hispanic,1,2023-08-14,kennethhorton@example.org,380-715-7604
STU0168,M. Carpenter,Michael,Carpenter,09-03-2013,6,West Loop,Multiracial,N,2023-08-05,beverlypadilla@example.com,
STU0055,MICHAEL BROWN,Michael,Brown,13 Dec 2012,8th,Englewood,Multiracial,,2023-09-09,mbrown@example.net,699-414-0264
STU0290,sabrina gregory,Sabrina,,16 Jun 2010,11,South Side,Asian,No,2023-09-18,,001-308-439-3072
STU0047,Kenneth Farmer,Kenneth,Farmer,06-11-2011,Grade 9,South Side,Multiracial,Y,18 Aug 2023,,362.498.2838x5451
STU0094,Anna Diaz,Anna,Diaz,28 Jan 2013,10,Englewood,Black or African American,TRUE,09-03-2023,jamesgarrett@example.net,001-507-908-2438x4820
STU0288,"Davis, Terri",Terri,Davis,2012-12-19,sophomore,Englewood,White,N,18 Sep 2023,david11@example.com,001-470-712-5168x866
STU0224,JAVIER RAMIREZ,Javier,Ramirez,04-27-2012,10,West Loop,Black or African American,Y,08/06/2023,jennifer22@example.net,
STU0109,destiny merritt,Destiny,Merritt,04-07-2007,9,Englewood,Asian,Y,2023-09-23,heather32@example.net,001-676-754-7793
STU0297,BARBARA BARNES,Barbara,Barnes,2007-03-17,8,Pilsen,,Yes,2023-09-15,stevenwyatt@example.org,630.904.5493x3309
STU0196,Joshua P.,,Peterson,"November 23, 2007",G6,Hyde Park,,1,2023-08-10,sandersmatthew@example.org,
STU0103,benjamin williams,Benjamin,Williams,,junior,Hyde Park,Asian,1,2023-08-05,brookstimothy@example.net,001-674-710-8262x8385
STU0005,Ryan M.,Ryan,Melendez,2013-06-23,11th,Pilsen,Hispanic,0,13 Sep 2023,,
STU0108,nicholas gomez,Nicholas,Gomez,"February 17, 2009",9,Pilsen,Black or African American,1,08-10-2023,cindyrivera@example.net,+1-283-985-6911
STU0060,Frank Hoffman,Frank,Hoffman,2007-03-31,G6,Englewood,,yes,2023-08-14,justinfarmer@example.net,221.592.7491x76020
STU0053,DANIEL BARNETT,Daniel,Barnett,,G6,Pilsen,Black or African American,yes,08/06/2023,,001-699-839-5616
STU0008,Matthew Evans,Matthew,Evans,"July 25, 2009",10th,West Loop,Multiracial,0,08-12-2023,,+1-226-704-6539x5059
STU0225,SARAH COLLINS,Sarah,Collins,02/15/2009,6th,Pilsen,,0,"September 16, 2023",phillipspatricia@example.com,
STU0101,ADAM DAVIS,Adam,Davis,,7th,Englewood,Asian,Y,09/07/2023,charlesmiller@example.com,9165879251
STU0289,Michele B.,Michele,Brown,,11th,Pilsen,,Yes,03 Aug 2023,melissahopkins@example.com,3898389887
STU0235,"Perez, Frank",,Perez,04/01/2015,freshman,Pilsen,,TRUE,09-25-2023,laura76@example.org,
STU0279,M. Johnson,Michelle,Johnson,"April 03, 2011",7th,Hyde Park,Asian,yes,08/26/2023,jillmcintyre@example.org,898-945-3730x351
STU0015,Jennifer Silva,Jennifer,Silva,2009-11-28,10,,Hispanic,0,08-22-2023,,337-433-0432
STU0070,Kristen R.,Kristen,Ruiz,24 Feb 2007,6,Pilsen,Multiracial,Yes,2023-08-22,thomasmason@example.com,811-730-4579x589
STU0268,Robert Mills,Robert,Mills,03-13-2010,eighth,South Side,,No,23 Aug 2023,ncunningham@example.org,+1-602-855-7346x18196
STU0180,"Cunningham, Maria",Maria,Cunningham,,11th,West Loop,Multiracial,No,2023-09-19,christophersimon@example.com,(376)931-0596
STU0153,"Harding, Christopher",Christopher,Harding,13 Feb 2010,11,West Loop,Black or African American,0,09/16/2023,gaguirre@example.com,893.208.2172x4875
STU0086,"Arnold, Michael",Michael,,04 Aug 2006,Grade 8,South Side,Asian,Yes,08/23/2023,david48@example.net,
STU0250,William L.,William,,"February 14, 2008",7th,Hyde Park,,Y,2023-09-08,lanewhitney@example.com,
STU0278,michael glover,Michael,,"November 11, 2008",9th,South Side,Hispanic,,18 Aug 2023,,+1-333-783-0119
STU0150,LAUREN MILLER,Lauren,Miller,05 Aug 2013,7th,South Side,Multiracial,0,25 Aug 2023,torresfrank@example.org,(856)375-6700x04163
STU0125,CASEY RODRIGUEZ,Casey,,,6,,Hispanic,N,2023-09-10,,
STU0190,S. Duarte,Sarah,Duarte,18 Nov 2013,Grade 11,West Loop,,yes,"August 27, 2023",oconley@example.com,418-238-8389x417
STU0063,"Brown, Cindy",Cindy,Brown,,Grade 8,South Side,Black or African American,Yes,05 Aug 2023,kellywhite@example.net,001-449-798-1133x838
STU0186,"Warren, Ricardo",Ricardo,Warren,"August 06, 2006",7th,,Asian,TRUE,01 Sep 2023,,329.771.7197
STU0153,Christopher Harding,Christopher,Harding,13 Feb 2010,11,West Loop,Black or African American,0,09/16/2023,brookstimothy@example.net,893.208.2172x4875
STU0051,V. Diaz,Virginia,,,Grade 10,West Loop,,No,"September 11, 2023",psmith@example.org,3607126912
STU0215,KIMBERLY VANCE,Kimberly,,08 Jan 2014,freshman,Englewood,Asian,,"September 02, 2023",hilldonald@example.net,9026120594
STU0092,Erica Suarez,,Suarez,08-19-2013,Grade 11,South Side,Multiracial,,08-08-2023,theresamiller@example.org,(995)670-7369x6251
STU0143,J. Russell,John,Russell,"April 04, 2009",G7,Hyde Park,Black or African American,Yes,2023-09-14,,001-703-256-7244
STU0142,M. Miller,Melanie,Miller,2015-01-11,senior,West Loop,Hispanic,yes,26 Sep 2023,,
STU0020,M. Singh,Michael,Singh,"December 19, 2014",Grade 8,West Loop,Black or African American,Yes,26 Sep 2023,sarah66@example.net,861.245.3063
STU0173,S. Sanders,,Sanders,,freshman,Hyde Park,,No,2023-08-04,,9403048672
STU0036,"Brown, Felicia",Felicia,Brown,31 Dec 2012,freshman,West Loop,White,0,2023-09-18,tara64@example.org,
STU0013,Amanda Charles,Amanda,Charles,11/16/2011,Grade 10,Englewood,Black or African American,yes,10 Sep 2023,traceybass@example.com,917.248.6352x553
STU0026,Theodore Rosales,Theodore,Rosales,"December 25, 2012",senior,Englewood,,No,"August 06, 2023",matthew91@example.com,316-242-1357x827
STU0247,jennifer oconnor,Jennifer,Oconnor,"August 30, 2007",10th,Englewood,Asian,TRUE,09-09-2023,nicholsonann@example.com,546.879.1752x8319
STU0170,Antonio N.,Antonio,,12/05/2013,7,Pilsen,,No,"September 03, 2023",laura76@example.net,9688159202
STU0039,G. Clayton,Gina,Clayton,06/04/2010,sophomore,South Side,Black or African American,Yes,21 Aug 2023,,
STU0176,TARA JONES,Tara,Jones,2008-08-01,9th,West Loop,Multiracial,Yes,"September 16, 2023",davidsonmargaret@example.com,(615)425-7375x000
STU0246,Jason Cooper,Jason,Cooper,28 May 2011,12th,South Side,Hispanic,yes,09-14-2023,,437-993-9211x667
STU0104,N. Hickman,Nathan,Hickman,11/19/2006,Grade 8,,,TRUE,"August 20, 2023",,978.486.0504
STU0155,Chad Rogers,Chad,Rogers,26 Sep 2006,senior,Pilsen,,TRUE,2023-08-02,brookehuynh@example.net,(391)354-7735x895
STU0127,DAVID JACOBS,David,Jacobs,03/17/2015,11,West Loop,Hispanic,yes,08/11/2023,burtonjessica@example.com,001-391-335-4819x9657
STU0151,Carol T.,Carol,Tucker,05-01-2015,6th,Pilsen,Hispanic,No,"August 07, 2023",tracyharrison@example.com,001-972-337-3958x85549
STU0114,"Esparza, Travis",,Esparza,06-16-2007,Grade 11,Hyde Park,Asian,,08/06/2023,tgarcia@example.net,434.217.2659x5349
STU0174,"Hudson, Heather",Heather,Hudson,2012-03-08,7th,,Hispanic,TRUE,08-28-2023,,234.797.1651x699
STU0058,vicki monroe,Vicki,Monroe,2009-06-24,12,Englewood,Multiracial,,08-15-2023,miawright@example.net,6038291751
STU0054,Derrick S.,Derrick,Smith,08/04/2007,sophomore,Pilsen,Asian,,09-19-2023,cohentimothy@example.com,+1-799-346-1886x5872
STU0223,B. Holloway,Betty,Holloway,"November 11, 2011",11,Pilsen,Hispanic,yes,2023-09-18,,734-200-1339
STU0281,AUSTIN JOHNSTON,Austin,,2013-07-02,9,West Loop,,N,09-01-2023,ashleymorrison@example.com,943-735-9155
STU0018,Albert B.,Albert,Brown,17 Aug 2012,Grade 7,South Side,,0,06 Sep 2023,shannoncordova@example.net,365-391-3174x4028
STU0128,R. Barton,Ricky,Barton,05-28-2009,9,Englewood,,Y,"September 06, 2023",zsmith@example.com,525-281-1564x628
STU0256,andrew miller,Andrew,Miller,"June 08, 2010",10th,Hyde Park,Multiracial,TRUE,08-17-2023,xpham@example.org,752.680.6172
STU0161,"Chase, Steve",Steve,,29 Mar 2007,12th,South Side,,yes,25 Aug 2023,andersonjill@example.net,7565087151
STU0253,"Henry, Zachary",Zachary,Henry,14 Aug 2010,Grade 12,,Hispanic,N,08-26-2023,ataylor@example.org,(336)482-0403
STU0191,Brianna Simmons,,Simmons,"July 10, 2006",12th,Englewood,Hispanic,,"August 05, 2023",heidi24@example.org,6603578494
STU0116,brian gomez,Brian,Gomez,05-07-2010,11th,West Loop,Asian,0,"September 25, 2023",nathaniel90@example.com,564.798.3481
STU0188,jenna wood,Jenna,,28 May 2011,9th,Pilsen,Black or African American,,"September 26, 2023",qstephens@example.net,222.846.5792x9392
STU0296,"Snyder, William",William,Snyder,10 Mar 2009,9th,Pilsen,Black or African American,N,06 Aug 2023,sandrawilliamson@example.org,323-937-2243x548
STU0095,C. Kennedy,Christopher,Kennedy,09/06/2010,10,West Loop,Multiracial,N,26 Aug 2023,,(206)461-3985x719
STU0181,Robert L.,Robert,Long,22 Nov 2010,7th,Hyde Park,Multiracial,N,08-13-2023,ujames@example.com,+1-954-446-2665x036
STU0280,"Murray, Donald",Donald,Murray,07-02-2014,junior,Pilsen,,0,"August 13, 2023",lynn05@example.com,001-422-262-9396x5776
STU0037,Nathan J.,Nathan,Jones,12/06/2006,G7,Englewood,Hispanic,yes,"September 22, 2023",gregsullivan@example.com,2896949523
STU0233,"Kirby, Joseph",Joseph,Kirby,12-10-2012,7th,Hyde Park,Multiracial,No,2023-08-09,,841-201-5712x44823
STU0099,Jeffrey Erickson,Jeffrey,Erickson,11-21-2013,G6,Hyde Park,Asian,1,09/16/2023,dnguyen@example.com,001-787-266-0172x29422
STU0006,J. Cherry,Julie,Cherry,20 Feb 2014,Grade 11,West Loop,Hispanic,No,26 Aug 2023,dpearson@example.net,+1-514-986-6739x27645
STU0046,A. Singleton,,,11-01-2007,senior,Hyde Park,Hispanic,TRUE,08-17-2023,riveratony@example.net,875-923-3836
STU0158,STEVEN JONES,Steven,Jones,10/05/2009,Grade 12,South Side,,Y,"August 03, 2023",ronaldchandler@example.org,+1-252-805-8080x092
STU0220,MARK PAUL,Mark,Paul,25 Nov 2010,8th,Hyde Park,,0,08/07/2023,teresaperez@example.org,592-539-0931x987
STU0172,Beth Clayton,Beth,Clayton,12/06/2009,Grade 9,South Side,,Yes,2023-09-05,petersonjoel@example.com,(854)713-4375x307
STU0017,Michael R.,Michael,Roberson,,sophomore,South Side,Black or African American,No,08-09-2023,autumnmarshall@example.org,772-741-4942x338
STU0049,Jennifer Jones,Jennifer,Jones,15 Feb 2008,G7,South Side,White,TRUE,18 Sep 2023,gmccann@example.com,+1-797-772-3758x4113
STU0192,Beth Riley,Beth,,08-25-2010,G6,Pilsen,Asian,,09/13/2023,harrismichelle@example.org,001-529-227-0055x27592
STU0035,LINDA MANN,,Mann,23 Feb 2013,9,Hyde Park,White,TRUE,09/11/2023,ojones@example.com,
STU0004,Manuel Singleton,Manuel,Singleton,10-17-2008,12,Pilsen,,Y,06 Aug 2023,wendy05@example.net,(761)968-6665x06911
STU0147,Kimberly West,Kimberly,West,"May 04, 2014",sophomore,Hyde Park,,No,08-06-2023,brandon61@example.org,(621)626-2602
STU0010,"Holmes, Amber",Amber,Holmes,07/17/2010,8,Hyde Park,,Yes,08-28-2023,rosskaren@example.org,+1-661-785-8167x2888
STU0284,"Hunt, Harold",Harold,Hunt,2009-04-13,Grade 12,Pilsen,White,Y,2023-08-05,william69@example.org,+1-839-402-9617x202
STU0097,J. Berry,James,Berry,"January 21, 2008",11th,West Loop,Hispanic,Y,08/11/2023,ugoodman@example.net,+1-444-990-7538
STU0286,KRISTI SHEPHERD,Kristi,Shepherd,"April 27, 2009",7,Hyde Park,Hispanic,yes,04 Aug 2023,jeanne19@example.com,001-326-746-3144x638
STU0277,Christine R.,Christine,Ross,"June 02, 2011",Grade 10,Pilsen,,N,2023-08-15,samanthareilly@example.net,+1-905-932-1657x47764
STU0226,matthew armstrong,Matthew,Armstrong,,junior,Hyde Park,Hispanic,N,09-12-2023,,001-787-666-4891x7432
STU0027,Renee Rush,Renee,Rush,"February 09, 2010",senior,Hyde Park,Multiracial,TRUE,09-15-2023,taylorkimberly@example.net,579.454.0507
STU0283,JEFFREY FRANCIS,Jeffrey,Francis,"April 27, 2013",7th,,Multiracial,Yes,12 Sep 2023,ashlee76@example.net,4134275702
